,0,1,2,3,4,5,6,y
5,-0.43206474246892906,0.8341423830578398,-0.5633528834802447,-0.4777801323405069,-0.5138569711567494,-1.4287986432096689,-0.011096815930071302,BATTERY
9,2.314467952848322,1.8636869598343033,-0.5165756861874153,-0.3230503907785086,-0.5138569711567494,-0.04020163615738808,-0.5152139351833036,BATTERY
18,-0.43206474246892906,2.94470876544959,-0.5165756861874153,-0.4777801323405069,-0.5138569711567494,-0.04020163615738808,-0.5152139351833036,BATTERY
24,-0.43206474246892906,-0.24687942255744666,-0.7036844753587327,-0.4777801323405069,-0.5138569711567494,-0.04020163615738808,0.9971374225763933,BATTERY
26,-0.43206474246892906,-0.1954021937186235,-0.6101300807730741,-0.4262035518198408,-0.5138569711567494,1.3483953708948926,0.49302030332316094,BATTERY
34,2.314467952848322,-0.349833880235093,0.32541386508351233,-0.3230503907785086,-0.5138569711567494,-0.04020163615738808,0.49302030332316094,BATTERY
39,2.314467952848322,-0.1954021937186235,-0.5633528834802447,-0.3230503907785086,-0.5138569711567494,-1.4287986432096689,-0.5152139351833036,BATTERY
45,2.314467952848322,-0.1954021937186235,-1.3117880401655138,-0.529356712861173,-0.5138569711567494,-1.4287986432096689,0.9971374225763933,BATTERY
47,-0.43206474246892906,-0.2983566513962698,-0.7972388699443913,-0.4777801323405069,-0.5138569711567494,-0.04020163615738808,-0.011096815930071302,BATTERY
48,-0.43206474246892906,-0.40131110907391615,0.6528542461333176,-0.3746269712991747,-0.5138569711567494,-0.04020163615738808,1.5012545418296255,BATTERY
57,-0.43206474246892906,-0.40131110907391615,-1.3117880401655138,-0.529356712861173,-0.5138569711567494,-1.4287986432096689,-1.019331054436536,BATTERY
65,-0.43206474246892906,-0.40131110907391615,-0.5165756861874153,-0.3746269712991747,-0.5138569711567494,-0.04020163615738808,-0.5152139351833036,BATTERY
69,2.314467952848322,0.8856196118966629,1.86906137574688,3.3904634067094515,-0.5138569711567494,-1.4287986432096689,-0.011096815930071302,BATTERY
70,-0.43206474246892906,-0.40131110907391615,-0.5165756861874153,-0.2714738102578425,-0.5138569711567494,-0.04020163615738808,-1.019331054436536,BATTERY
71,2.314467952848322,3.8198216557095837,-0.5165756861874153,-0.3230503907785086,-0.5138569711567494,-0.04020163615738808,0.49302030332316094,BATTERY
72,-0.43206474246892906,-0.1954021937186235,-1.3117880401655138,-0.4777801323405069,-0.5138569711567494,-1.4287986432096689,0.49302030332316094,BATTERY
76,-0.43206474246892906,-0.1954021937186235,-1.5456740266296605,-0.4777801323405069,-0.5138569711567494,-0.04020163615738808,-0.011096815930071302,BATTERY
79,2.314467952848322,-0.1954021937186235,-1.3117880401655138,-0.3230503907785086,-0.5138569711567494,-1.4287986432096689,0.9971374225763933,BATTERY
